appid,name,release_date,price,tags,total_reviews,review_source,cohort
347800,Ghost Song,2022-11-03,19.99,"[""Metroidvania"", ""Sci-fi"", ""2D"", ""Action"", ""Atmospheric"", ""Platformer"", ""Indie"", ""Singleplayer"", ""Adventure"", ""Side Scroller"", ""Dark"", ""Hand-drawn"", ""2D Platformer"", ""Action-Adventure"", ""Controller"", ""Horror"", ""Difficult"", ""Robots"", ""Female Protagonist"", ""Post-apocalyptic""]",1446,appreviews,B
496240,Onward,2025-03-25,24.99,"[""VR"", ""Shooter"", ""FPS"", ""Military"", ""Realistic"", ""Multiplayer"", ""Simulation"", ""Action"", ""Violent"", ""Indie"", ""Tactical"", ""War"", ""First-Person"", ""Singleplayer"", ""Early Access"", ""Online Co-Op"", ""PvP"", ""e-sports"", ""Modern"", ""Class-Based""]",9302,appreviews,A
497950,GOD'S GIFT,2024-08-15,11.99,"[""Strategy"", ""Puzzle"", ""Puzzle-Platformer"", ""2D"", ""Pixel Graphics"", ""Dark Humor"", ""Demons"", ""Dystopian "", ""Horror"", ""Lemmings"", ""Violent"", ""Lovecraftian"", ""Gore"", ""Indie"", ""Sci-fi"", ""Supernatural"", ""Level Editor"", ""Singleplayer""]",23,appreviews,B
553850,HELLDIVERS 2,2024-02-08,39.99,"[""Online Co-Op"", ""PvE"", ""Third-Person Shooter"", ""Multiplayer"", ""Action"", ""Shooter"", ""Co-op"", ""Sci-fi"", ""Capitalism"", ""Space"", ""Extraction Shooter"", ""Third Person"", ""Comedy"", ""Gore"", ""Violent"", ""Great Soundtrack"", ""Difficult"", ""Psychological Horror"", ""Singleplayer"", ""Open World""]",1151283,appreviews,A
611790,House Party,2022-07-15,24.99,"[""Nudity"", ""Mature"", ""NSFW"", ""Simulation"", ""Sandbox"", ""Choices Matter"", ""Story Rich"", ""Adventure"", ""Comedy"", ""Sexual Content"", ""Multiple Endings"", ""3D"", ""Puzzle"", ""Cinematic"", ""Drama"", ""Choose Your Own Adventure"", ""Life Sim"", ""LGBTQ+"", ""Female Protagonist"", ""Singleplayer""]",15376,appreviews,B
756800,Contraband Police,2023-03-08,29.99,"[""Open World"", ""Simulation"", ""First-Person"", ""Singleplayer"", ""Action"", ""Realistic"", ""Multiple Endings"", ""1980s"", ""Automobile Sim"", ""FPS"", ""Story Rich"", ""Management"", ""Detective"", ""Survival"", ""Immersive Sim"", ""Action-Adventure"", ""Physics"", ""Destruction"", ""Atmospheric"", ""Indie""]",25270,appreviews,B
772710,Fay's Factory,2024-05-08,19.99,"[""Early Access"", ""CRPG"", ""Story Rich"", ""Indie"", ""Deckbuilding"", ""Choices Matter"", ""Adventure"", ""Character Customization"", ""Isometric"", ""Capitalism"", ""Exploration"", ""Conversation"", ""Visual Novel"", ""RPG"", ""Political"", ""LGBTQ+"", ""Singleplayer"", ""Funny"", ""Female Protagonist"", ""Colorful""]",19,appreviews,B
824000,Hokko Life,2022-09-27,19.99,"[""Life Sim"", ""Farming Sim"", ""Casual"", ""Simulation"", ""Farming"", ""Adventure"", ""Fishing"", ""Agriculture"", ""RPG"", ""Indie"", ""Cute"", ""Cozy"", ""Wholesome"", ""Relaxing"", ""Building"", ""Family Friendly"", ""Character Customization"", ""Crafting"", ""Colorful"", ""Singleplayer""]",2665,appreviews,B
843810,A Perfect Day,2022-02-24,19.99,"[""Atmospheric"", ""Narration"", ""Adventure"", ""Choices Matter"", ""Singleplayer"", ""Multiple Endings"", ""Puzzle"", ""Story Rich"", ""Emotional"", ""Investigation"", ""Interactive Fiction"", ""Time Travel"", ""Exploration"", ""Drama"", ""Time Management"", ""Nostalgia"", ""1990's"", ""Retro"", ""Indie"", ""Hand-drawn""]",1823,appreviews,B
850190,Goat Simulator 3,2024-02-15,29.99,"[""Exploration"", ""Physics"", ""Sandbox"", ""Open World"", ""Character Customization"", ""Simulation"", ""3D"", ""Casual"", ""Action-Adventure"", ""Comedy"", ""Cartoony"", ""Adventure"", ""Colorful"", ""Multiplayer"", ""Family Friendly"", ""Co-op"", ""Local Co-Op"", ""Online Co-Op"", ""Singleplayer"", ""Funny""]",15585,appreviews,A
881020,Granblue Fantasy: Relink,2024-01-31,39.99,"[""Anime"", ""JRPG"", ""Action RPG"", ""Action"", ""Online Co-Op"", ""Multiplayer"", ""Fantasy"", ""RPG"", ""Singleplayer"", ""Female Protagonist"", ""Third Person"", ""Spectacle fighter"", ""Hack and Slash"", ""3D"", ""Controller"", ""Magic"", ""Swordplay"", ""PvE"", ""Dragons"", ""Tutorial""]",54019,appreviews,A
923480,Strategist,2023-08-06,2.99,"[""Strategy"", ""Puzzle"", ""Board Game"", ""Puzzle-Platformer"", ""Relaxing"", ""Tabletop"", ""Clicker"", ""Difficult"", ""Point & Click"", ""Grand Strategy"", ""2D"", ""Casual"", ""Minimalist"", ""Family Friendly"", ""Logic"", ""Atmospheric"", ""Adventure"", ""Modern"", ""Singleplayer"", ""Indie""]",12,appreviews,B
941890,Mini Matches,2022-03-21,14.99,"[""Multiplayer"", ""Funny"", ""Local Multiplayer"", ""4 Player Local"", ""Casual"", ""Action"", ""Co-op"", ""Online Co-Op"", ""2D"", ""Competitive"", ""Local Co-Op"", ""Family Friendly"", ""Party"", ""Party Game"", ""Controller"", ""Minigames"", ""Colorful"", ""Physics"", ""Singleplayer"", ""Indie""]",24,appreviews,A
